[16:02:11] [main/INFO]: Loading Minecraft 1.20.1 with Fabric Loader 0.16.4
[16:02:11] [main/INFO]: Fabric is preparing JARs on first launch, this may take a few seconds...
[16:02:11] [main/INFO]: Loading 4 mods:
	- fabricloader 0.16.4
	   \-- mixinextras 0.4.1
	- java 17
	- minecraft 1.20.1
[16:02:11] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/minecraft/data/libraries/net/fabricmc/sponge-mixin/0.15.3+mixin.0.8.7/sponge-mixin-0.15.3+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[16:02:18] [main/ERROR]: Failed to load properties from file: server.properties
java.nio.file.NoSuchFileException: server.properties
	at sun.nio.fs.UnixException.translateToIOException(UnixException.java:92) ~[?:?]
	at sun.nio.fs.UnixException.rethrowAsIOException(UnixException.java:106) ~[?:?]
	at sun.nio.fs.UnixException.rethrowAsIOException(UnixException.java:111) ~[?:?]
	at sun.nio.fs.UnixFileSystemProvider.newByteChannel(UnixFileSystemProvider.java:219) ~[?:?]
	at java.nio.file.Files.newByteChannel(Files.java:375) ~[?:?]
	at java.nio.file.Files.newByteChannel(Files.java:426) ~[?:?]
	at java.nio.file.spi.FileSystemProvider.newInputStream(FileSystemProvider.java:420) ~[?:?]
	at java.nio.file.Files.newInputStream(Files.java:160) ~[?:?]
	at net.minecraft.class_3808.method_16727(class_3808.java:62) ~[server-intermediary.jar:?]
	at net.minecraft.class_3806.method_16714(class_3806.java:137) ~[server-intermediary.jar:?]
	at net.minecraft.class_3807.<init>(class_3807.java:12) ~[server-intermediary.jar:?]
	at net.minecraft.server.Main.main(Main.java:115) ~[server-intermediary.jar:?]
	at net.fabricmc.loader.impl.game.minecraft.MinecraftGameProvider.launch(MinecraftGameProvider.java:480) ~[fabric-loader-0.16.4.jar:?]
	at net.fabricmc.loader.impl.launch.knot.Knot.launch(Knot.java:74) ~[fabric-loader-0.16.4.jar:?]
	at net.fabricmc.loader.impl.launch.knot.KnotServer.main(KnotServer.java:23) ~[fabric-loader-0.16.4.jar:?]
	at net.fabricmc.loader.impl.launch.server.FabricServerLauncher.main(FabricServerLauncher.java:69) ~[fabric-loader-0.16.4.jar:?]
	at net.fabricmc.installer.ServerLauncher.main(ServerLauncher.java:69) ~[minecraft_server.jar:1.0.1]
[16:02:18] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[16:02:20] [main/INFO]: Loaded 7 recipes
[16:02:20] [main/INFO]: Loaded 1271 advancements
[16:02:21] [Server thread/INFO]: Starting minecraft server version 1.20.1
[16:02:21] [Server thread/INFO]: Loading properties
[16:02:21] [Server thread/INFO]: Default game type: SURVIVAL
[16:02:21] [Server thread/INFO]: Generating keypair
[16:02:21] [Server thread/INFO]: Starting Minecraft server on *:25565
[16:02:21] [Server thread/INFO]: Using epoll channel type
[16:02:21] [Server thread/INFO]: Preparing level "world"
[16:02:34] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[16:02:35] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:35] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:39] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:39] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:42] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:42] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
